Edition,NOC,Change
2000,BAH,11.693272659992449
2004,BAH,-8.71758174595273
2008,BAH,3.9726961258250926
1896,BAR,
1900,BAR,
1904,BAR,
1908,BAR,
1912,BAR,
1920,BAR,
1924,BAR,
1928,BAR,
1932,BAR,
1936,BAR,
1948,BAR,
1952,BAR,
1956,BAR,
1960,BAR,
1964,BAR,
1968,BAR,
1972,BAR,
1976,BAR,
1980,BAR,
1984,BAR,
1988,BAR,
1992,BAR,
1996,BAR,
2000,BAR,
2004,BAR,0.0
2008,BAR,0.0
1896,BDI,
1900,BDI,
1904,BDI,
1908,BDI,
1912,BDI,
1920,BDI,
1924,BDI,
1928,BDI,
1932,BDI,
1936,BDI,
1948,BDI,
1952,BDI,
1956,BDI,
1960,BDI,
1964,BDI,
1968,BDI,
1972,BDI,
1976,BDI,
1980,BDI,
1984,BDI,
1988,BDI,
1992,BDI,
1996,BDI,
2000,BDI,0.0
2004,BDI,0.0
2008,BDI,0.0
1896,BEL,
1900,BEL,
1904,BEL,0.0
1908,BEL,-24.69064931751499
1912,BEL,-20.85819051132648
1920,BEL,54.75788713959784
1924,BEL,-7.763449395232103
1928,BEL,-14.855514101157585
1932,BEL,0.0
1936,BEL,-10.735020209416424
1948,BEL,-8.13513681566248
1952,BEL,-9.177534747098148
1956,BEL,-9.450078121995453
1960,BEL,-7.982946967236703
1964,BEL,-7.61043619160221
1968,BEL,-6.984762485682139
1972,BEL,-6.733158555739771
1976,BEL,-4.991359964043363
1980,BEL,-6.077179983604209
1984,BEL,-5.059191245587302
1988,BEL,-5.246444572677078
1992,BEL,-4.842804856679472
1996,BEL,-4.230211971471909
2000,BEL,-3.937947934906094
2004,BEL,-4.1915778265064985
2008,BEL,-3.771681289632567
1896,BER,
1900,BER,
1904,BER,
1908,BER,
1912,BER,
1920,BER,
1924,BER,
1928,BER,
1932,BER,
1936,BER,
1948,BER,
1952,BER,
1956,BER,
1960,BER,
1964,BER,
1968,BER,
1972,BER,
1976,BER,
1980,BER,0.0
1984,BER,0.0
1988,BER,0.0
1992,BER,0.0
1996,BER,0.0
2000,BER,0.0
2004,BER,0.0
2008,BER,0.0
1896,BLR,
1900,BLR,
1904,BLR,
1908,BLR,
1912,BLR,
1920,BLR,
1924,BLR,
1928,BLR,
1932,BLR,
1936,BLR,
1948,BLR,
1952,BLR,
1956,BLR,
1960,BLR,
1964,BLR,
1968,BLR,
1972,BLR,
1976,BLR,
1980,BLR,
1984,BLR,
1988,BLR,
1992,BLR,
1996,BLR,
2000,BLR,-5.876577840112207
2004,BLR,-8.978451455975911
2008,BLR,9.650950376893007
1896,BOH,
1900,BOH,
1904,BOH,0.0
1908,BOH,29.601990049751237
1912,BOH,0.0
1920,BOH,0.0
1924,BOH,0.0
1928,BOH,0.0
1932,BOH,0.0
1936,BOH,0.0
1948,BOH,0.0
1952,BOH,0.0
1956,BOH,0.0
1960,BOH,0.0
1964,BOH,0.0
1968,BOH,0.0
1972,BOH,0.0
1976,BOH,0.0
1980,BOH,0.0
1984,BOH,0.0
1988,BOH,0.0
1992,BOH,0.0
1996,BOH,0.0
2000,BOH,0.0
2004,BOH,0.0
2008,BOH,0.0
1896,BRA,
1900,BRA,
1904,BRA,
1908,BRA,
1912,BRA,
1920,BRA,
1924,BRA,0.0
1928,BRA,0.0
1932,BRA,0.0
1936,BRA,0.0
1948,BRA,86.67953667953665
1952,BRA,-22.16011778258845
1956,BRA,-21.39525534973663
1960,BRA,27.85571062771335
1964,BRA,8.476356658119123
1968,BRA,-7.798218748858476
1972,BRA,-9.821719045091315
1976,BRA,-7.515267824296634
1980,BRA,-0.12292099379137555
1984,BRA,26.04493519889175
1988,BRA,9.915644479462603
1992,BRA,-0.7441120771067511
1996,BRA,20.11100196621083
2000,BRA,7.98704344802923
2004,BRA,4.4416699072273635
2008,BRA,11.793639791836386
1896,BUL,
1900,BUL,
1904,BUL,
1908,BUL,
1912,BUL,
1920,BUL,
1924,BUL,
1928,BUL,
1932,BUL,
1936,BUL,
1948,BUL,
1952,BUL,
1956,BUL,854.0677966101694
1960,BUL,-8.682550022041935
1964,BUL,0.2573267947385993
1968,BUL,31.333078040087692
1972,BUL,7.312361901549225
1976,BUL,16.545086619246984
1980,BUL,39.992370796023266
1984,BUL,0.0
1988,BUL,1.9314317215156862
1992,BUL,-5.6704094432758705
1996,BUL,-4.363517698862951
2000,BUL,-5.745491062519148
2004,BUL,-4.34990558221301
2008,BUL,-6.209066668250807
1896,BWI,
1900,BWI,
1904,BWI,
1908,BWI,
1912,BWI,
1920,BWI,
1924,BWI,
1928,BWI,
1932,BWI,
1936,BWI,
1948,BWI,
1952,BWI,
1956,BWI,
1960,BWI,
1964,BWI,0.0
1968,BWI,0.0
1972,BWI,0.0
1976,BWI,0.0
1980,BWI,0.0
1984,BWI,0.0
1988,BWI,0.0
1992,BWI,0.0
1996,BWI,0.0
2000,BWI,0.0
2004,BWI,0.0
2008,BWI,0.0
1896,CAN,
1900,CAN,
1904,CAN,903.1914893617021
1908,CAN,20.623816231673043
1912,CAN,-20.219098602266104
1920,CAN,-13.46268504597764
1924,CAN,-5.112272278183694
1928,CAN,7.156429872164094
1932,CAN,10.776137732995196
1936,CAN,-3.511028311843367
1948,CAN,-7.921761562915252
1952,CAN,-7.838411006252044
1956,CAN,-2.3891710812534717
1960,CAN,-5.020568000999692
1964,CAN,-5.875629618783506
1968,CAN,-4.204700990585053
1972,CAN,-4.153719531957966
1976,CAN,-2.143976598610964
1980,CAN,0.0
1984,CAN,8.321443159499564
1988,CAN,-2.466324087680105
1992,CAN,0.17552202806874195
1996,CAN,0.468866646379551
2000,CAN,-1.758520384580431
2004,CAN,-2.8471275707136257
2008,CAN,-1.2698291006748574
1896,CHI,
1900,CHI,
1904,CHI,
1908,CHI,
1912,CHI,
1920,CHI,
1924,CHI,
1928,CHI,
1932,CHI,0.0
1936,CHI,0.0
1948,CHI,0.0
1952,CHI,109.73003374578178
1956,CHI,17.6693690567997
1960,CHI,0.0
1964,CHI,0.0
1968,CHI,0.0
1972,CHI,0.0
1976,CHI,0.0
1980,CHI,0.0
1984,CHI,0.0
1988,CHI,-20.347731020594406
1992,CHI,0.0
1996,CHI,0.0
2000,CHI,44.530286882652526
2004,CHI,-8.328116654027816
2008,CHI,-12.37855332019181
1896,CHN,
1900,CHN,
1904,CHN,
1908,CHN,
1912,CHN,
1920,CHN,
1924,CHN,
1928,CHN,
1932,CHN,
1936,CHN,
1948,CHN,
1952,CHN,
1956,CHN,
1960,CHN,
1964,CHN,
1968,CHN,
1972,CHN,
1976,CHN,
1980,CHN,
1984,CHN,
1988,CHN,-17.093773405052094
1992,CHN,4.2406297971175455
1996,CHN,7.860247335355286
2000,CHN,-3.851278358800869
2004,CHN,0.12886348954850302
2008,CHN,13.251332104552805
1896,CIV,
1900,CIV,
1904,CIV,
1908,CIV,
1912,CIV,
1920,CIV,
1924,CIV,
1928,CIV,
1932,CIV,
1936,CIV,
1948,CIV,
1952,CIV,
1956,CIV,
1960,CIV,
1964,CIV,
1968,CIV,
1972,CIV,
1976,CIV,
1980,CIV,
1984,CIV,
1988,CIV,0.0
1992,CIV,0.0
1996,CIV,0.0
2000,CIV,0.0
2004,CIV,0.0
2008,CIV,0.0
1896,CMR,
1900,CMR,
1904,CMR,
1908,CMR,
1912,CMR,
1920,CMR,
1924,CMR,
1928,CMR,
1932,CMR,
1936,CMR,
1948,CMR,
1952,CMR,
1956,CMR,
1960,CMR,
1964,CMR,
1968,CMR,
1972,CMR,0.0
1976,CMR,0.0
1980,CMR,0.0
1984,CMR,-14.667580534612746
1988,CMR,0.0
1992,CMR,0.0
1996,CMR,0.0
2000,CMR,326.4332366687594
2004,CMR,-21.454821687931002
2008,CMR,-16.466962175651677
1896,COL,
1900,COL,
1904,COL,
1908,COL,
1912,COL,
1920,COL,
1924,COL,
1928,COL,
1932,COL,
1936,COL,
1948,COL,
1952,COL,
1956,COL,
1960,COL,
1964,COL,
1968,COL,
1972,COL,
1976,COL,0.0
1980,COL,0.0
1984,COL,-36.46333104866347
1988,COL,-19.929102163870247
1992,COL,-13.615509987402918
1996,COL,0.0
2000,COL,-11.078926312578263
2004,COL,0.19656261016118837
2008,COL,-0.17071440987067588
1896,CRC,
1900,CRC,
1904,CRC,
1908,CRC,
1912,CRC,
1920,CRC,
1924,CRC,
1928,CRC,
1932,CRC,
1936,CRC,
1948,CRC,
1952,CRC,
1956,CRC,
1960,CRC,
1964,CRC,
1968,CRC,
1972,CRC,
1976,CRC,
1980,CRC,
1984,CRC,
1988,CRC,
1992,CRC,0.0
1996,CRC,-8.418504572350738
2000,CRC,22.518244832867552
2004,CRC,0.0
2008,CRC,0.0
1896,CRO,
1900,CRO,
1904,CRO,
1908,CRO,
1912,CRO,
1920,CRO,
1924,CRO,
1928,CRO,
1932,CRO,
1936,CRO,
1948,CRO,
1952,CRO,
1956,CRO,
1960,CRO,
1964,CRO,
1968,CRO,
1972,CRO,
1976,CRO,
1980,CRO,
1984,CRO,
1988,CRO,
1992,CRO,
1996,CRO,38.658777120315555
2000,CRO,-19.7724039829303
2004,CRO,0.570339843389478
2008,CRO,-15.024504655753624
1896,CUB,
1900,CUB,
1904,CUB,195.1063829787234
1908,CUB,0.0
1912,CUB,0.0
1920,CUB,0.0
1924,CUB,0.0
1928,CUB,0.0
1932,CUB,0.0
1936,CUB,0.0
1948,CUB,-26.22863408732191
1952,CUB,0.0
1956,CUB,0.0
1960,CUB,0.0
1964,CUB,-22.08933534368117
1968,CUB,9.27844171140264
1972,CUB,26.069465599368733
1976,CUB,14.49720983910816
1980,CUB,4.746495794596006
1984,CUB,0.0
1988,CUB,0.0
1992,CUB,31.154706273425738
1996,CUB,11.355483230732144
2000,CUB,10.379885957546065
2004,CUB,6.083354486852155
2008,CUB,1.7649214737459396
1896,CZE,
1900,CZE,
1904,CZE,
1908,CZE,
1912,CZE,
1920,CZE,
1924,CZE,
1928,CZE,
1932,CZE,
1936,CZE,
1948,CZE,
1952,CZE,
1956,CZE,
1960,CZE,
1964,CZE,
1968,CZE,
1972,CZE,
1976,CZE,
1980,CZE,
1984,CZE,
1988,CZE,
1992,CZE,
1996,CZE,
2000,CZE,-18.06451612903226
2004,CZE,1.6071189299535993
2008,CZE,-10.279512646457423
1896,DEN,
1900,DEN,-35.25390625
1904,DEN,0.0
1908,DEN,-9.160582207114254
1912,DEN,76.53454035167371
1920,DEN,8.010744913235035
1924,DEN,-11.589529913501506
1928,DEN,-7.64638215744291
1932,DEN,-7.472397604250025
1936,DEN,-8.847963417647964
1948,DEN,9.616318659017198
1952,DEN,-6.354892772516896
1956,DEN,-6.240864239987632
1960,DEN,-0.9004616649431085
1964,DEN,-4.2432968853175375
1968,DEN,-2.9751810952812874
1972,DEN,-6.056040996964351
1976,DEN,-4.470758395065111
1980,DEN,-4.2424969550258655
1984,DEN,-2.947616010286014
1988,DEN,-4.0017883783743375
1992,DEN,-2.9659918116576756
1996,DEN,-1.767749520512918
2000,DEN,-1.7485046901966173
2004,DEN,-1.2006406019763438
2008,DEN,-2.249724873962766
1896,DJI,
1900,DJI,
1904,DJI,
1908,DJI,
1912,DJI,
1920,DJI,
1924,DJI,
1928,DJI,
1932,DJI,
1936,DJI,
1948,DJI,
1952,DJI,
1956,DJI,
1960,DJI,
1964,DJI,
1968,DJI,
1972,DJI,
1976,DJI,
1980,DJI,
1984,DJI,
1988,DJI,
1992,DJI,0.0
1996,DJI,0.0
2000,DJI,0.0
2004,DJI,0.0
2008,DJI,0.0
1896,DOM,
1900,DOM,
1904,DOM,
1908,DOM,
1912,DOM,
1920,DOM,
1924,DOM,
1928,DOM,
1932,DOM,
1936,DOM,
1948,DOM,
1952,DOM,
1956,DOM,
1960,DOM,
1964,DOM,
1968,DOM,
1972,DOM,
1976,DOM,
1980,DOM,
1984,DOM,
1988,DOM,0.0
1992,DOM,0.0
1996,DOM,0.0
2000,DOM,0.0
2004,DOM,-13.488488488488493
2008,DOM,21.726436946389825
1896,ECU,
1900,ECU,
1904,ECU,
1908,ECU,
1912,ECU,
1920,ECU,
1924,ECU,
1928,ECU,
1932,ECU,
1936,ECU,
1948,ECU,
1952,ECU,
1956,ECU,
1960,ECU,
1964,ECU,
1968,ECU,
1972,ECU,
1976,ECU,
1980,ECU,
1984,ECU,
1988,ECU,
1992,ECU,
1996,ECU,
2000,ECU,0.0
2004,ECU,0.0
2008,ECU,-4.480901077375121
1896,EGY,
1900,EGY,
1904,EGY,
1908,EGY,
1912,EGY,
1920,EGY,
1924,EGY,
1928,EGY,
1932,EGY,0.0
1936,EGY,0.7142857142857117
1948,EGY,2.7520750925006165
1952,EGY,-20.17658169907264
1956,EGY,0.0
1960,EGY,-10.255091546742678
1964,EGY,0.0
1968,EGY,0.0
1972,EGY,0.0
1976,EGY,0.0
1980,EGY,0.0
1984,EGY,-13.931586903333116
1988,EGY,0.0
1992,EGY,0.0
1996,EGY,0.0
2000,EGY,0.0
2004,EGY,-4.340612708534297
2008,EGY,-10.719838421904749
1896,ERI,
1900,ERI,
1904,ERI,
1908,ERI,
1912,ERI,
1920,ERI,
1924,ERI,
1928,ERI,
1932,ERI,
1936,ERI,
1948,ERI,
1952,ERI,
1956,ERI,
1960,ERI,
1964,ERI,
1968,ERI,
1972,ERI,
1976,ERI,
1980,ERI,
1984,ERI,
1988,ERI,
1992,ERI,
1996,ERI,
2000,ERI,
2004,ERI,
2008,ERI,0.0
1896,ESP,
1900,ESP,
1904,ESP,0.0
1908,ESP,0.0
1912,ESP,0.0
1920,ESP,186.67180277349772
1924,ESP,0.0
1928,ESP,-20.755766345812944
1932,ESP,-20.4190852383625
1936,ESP,0.0
1948,ESP,-9.562289755677877
1952,ESP,-13.731209000677369
1956,ESP,0.0
1960,ESP,26.870605372122714
1964,ESP,0.0
1968,ESP,0.0
1972,ESP,-10.990942557118489
1976,ESP,-2.9004498326322903
1980,ESP,18.64161281818115
1984,ESP,7.426094795370153
1988,ESP,-4.833115062633963
1992,ESP,32.943248147559466
1996,ESP,19.283122526575667
2000,ESP,5.5763056086922225
2004,ESP,0.634407304965956
2008,ESP,10.683944535588585
1896,EST,
1900,EST,
1904,EST,
1908,EST,
1912,EST,
1920,EST,
1924,EST,96.83257918552037
1928,EST,59.54605795693701
1932,EST,0.0
1936,EST,2.554997246789159
1948,EST,0.0
1952,EST,0.0
1956,EST,0.0
1960,EST,0.0
1964,EST,0.0
1968,EST,0.0
1972,EST,0.0
1976,EST,0.0
1980,EST,0.0
1984,EST,0.0
1988,EST,0.0
1992,EST,-15.272403351860975
1996,EST,0.0
2000,EST,-12.732220428428409
2004,EST,-10.388426590616495
2008,EST,-8.776544544270493
1896,ETH,
1900,ETH,
1904,ETH,
1908,ETH,
1912,ETH,
1920,ETH,
1924,ETH,
1928,ETH,
1932,ETH,
1936,ETH,
1948,ETH,
1952,ETH,
1956,ETH,
1960,ETH,
1964,ETH,-6.336633663366342
1968,ETH,27.55707664240812
1972,ETH,6.149129837983147
1976,ETH,0.0
1980,ETH,20.113573492257974
1984,ETH,0.0
1988,ETH,0.0
1992,ETH,0.31308599798540726
1996,ETH,-0.9789650528899241
2000,ETH,16.4284814051314
2004,ETH,8.378424914443826
2008,ETH,5.835833279399361
1896,EUA,
1900,EUA,
1904,EUA,
1908,EUA,
1912,EUA,
1920,EUA,
1924,EUA,
1928,EUA,
1932,EUA,
1936,EUA,
1948,EUA,
1952,EUA,
1956,EUA,
1960,EUA,27.45554362095717
1964,EUA,12.901031664100904
1968,EUA,0.0
1972,EUA,0.0
1976,EUA,0.0
1980,EUA,0.0
1984,EUA,0.0
1988,EUA,0.0
1992,EUA,0.0
1996,EUA,0.0
2000,EUA,0.0
2004,EUA,0.0
2008,EUA,0.0
1896,EUN,
1900,EUN,
1904,EUN,
1908,EUN,
1912,EUN,
1920,EUN,
1924,EUN,
1928,EUN,
1932,EUN,
1936,EUN,
1948,EUN,
1952,EUN,
1956,EUN,
1960,EUN,
1964,EUN,
1968,EUN,
1972,EUN,
1976,EUN,
1980,EUN,
1984,EUN,
1988,EUN,
1992,EUN,
1996,EUN,0.0
2000,EUN,0.0
2004,EUN,0.0
2008,EUN,0.0
1896,FIN,
1900,FIN,
1904,FIN,
1908,FIN,
1912,FIN,54.94447691408533
1920,FIN,-10.817808045373955
1924,FIN,4.504950853354406
1928,FIN,-6.479940635166037
1932,FIN,-0.5329732165968548
1936,FIN,-5.524782727082633
1948,FIN,-2.7714360219377565
1952,FIN,0.1216618966010774
1956,FIN,-3.407148565207707
1960,FIN,-7.654135934172112
1964,FIN,-7.2954509018313125
1968,FIN,-6.88239593431862
1972,FIN,-5.386141165601844
1976,FIN,-5.722513049524092
1980,FIN,-4.924953101631113
1984,FIN,-4.219722726445518
1988,FIN,-5.039827755430027
1992,FIN,-4.446723846766254
1996,FIN,-4.57459158526855
2000,FIN,-4.272275796302461
2004,FIN,-4.348500212536532
2008,FIN,-3.866046544162105
1896,FRA,
1900,FRA,198.00248579545453
1904,FRA,0.0
1908,FRA,-26.649045909566972
1912,FRA,-20.56498232639529
1920,FRA,-2.824039702780601
1924,FRA,2.04636213069771
1928,FRA,-8.510922160263712
1932,FRA,-5.9467367436292555
1936,FRA,-6.052107165087928
1948,FRA,-1.7615674735768638
1952,FRA,-5.087326262331859
1956,FRA,-5.146349131074624
1960,FRA,-6.622560524064758
1964,FRA,-4.524850637891076
1968,FRA,-4.483022195922448
1972,FRA,-4.730600897453863
1976,FRA,-4.643257798966227
1980,FRA,-3.8812615659739813
1984,FRA,-1.5846249974056703
1988,FRA,-3.570875102160742
1992,FRA,-2.246345083322976
1996,FRA,-2.5296958191584396
2000,FRA,-1.986047554682513
2004,FRA,-2.2965040863707875
2008,FRA,-1.421791941701278
1896,FRG,
1900,FRG,
1904,FRG,
1908,FRG,
1912,FRG,
1920,FRG,
1924,FRG,
1928,FRG,
1932,FRG,
1936,FRG,
1948,FRG,
1952,FRG,
1956,FRG,
1960,FRG,
1964,FRG,
1968,FRG,
1972,FRG,35.22862309480757
1976,FRG,-3.525977219361498
1980,FRG,0.0
1984,FRG,18.387831038467638
1988,FRG,-0.08522258922909476
1992,FRG,0.0
1996,FRG,0.0
2000,FRG,0.0
2004,FRG,0.0
2008,FRG,0.0
1896,GBR,
1900,GBR,114.3136160714286
1904,GBR,-31.90562325199603
1908,GBR,134.4892179985125
1912,GBR,2.793012214648405
1920,GBR,-8.241291316516053
1924,GBR,-7.157549018164156
1928,GBR,-5.52969332118648
1932,GBR,-6.430489867441336
1936,GBR,-6.6495564932688715
1948,GBR,-3.635059322888756
1952,GBR,-5.7027558732301475
1956,GBR,-3.9373997154329654
1960,GBR,-4.87674979201651
1964,GBR,-4.724986088649241
1968,GBR,-5.046773954281091
1972,GBR,-4.2105912508588865
1976,GBR,-3.9040002876715607
1980,GBR,-3.1088722249336898
1984,GBR,-1.7871974285919467
1988,GBR,-2.5976129768145007
1992,GBR,-2.7311003816583024
1996,GBR,-3.4969011622480117
2000,GBR,-2.517516280868326
2004,GBR,-2.302551367798078
2008,GBR,-1.6379676295759649
1896,GDR,
1900,GDR,
1904,GDR,
1908,GDR,
1912,GDR,
1920,GDR,
1924,GDR,
1928,GDR,
1932,GDR,
1936,GDR,
1948,GDR,
1952,GDR,
1956,GDR,
1960,GDR,
1964,GDR,
1968,GDR,
1972,GDR,76.24141639778274
1976,GDR,22.920222148587797
1980,GDR,18.73146977571889
1984,GDR,0.0
1988,GDR,-2.30864535014339
1992,GDR,0.0
1996,GDR,0.0
2000,GDR,0.0
2004,GDR,0.0
2008,GDR,0.0
1896,GEO,
1900,GEO,
1904,GEO,
1908,GEO,
1912,GEO,
1920,GEO,
1924,GEO,
1928,GEO,
1932,GEO,
1936,GEO,
1948,GEO,
1952,GEO,
1956,GEO,
1960,GEO,
1964,GEO,
1968,GEO,
1972,GEO,
1976,GEO,
1980,GEO,
1984,GEO,
1988,GEO,
1992,GEO,
1996,GEO,
2000,GEO,88.38709677419357
2004,GEO,-0.40714230211946756
2008,GEO,11.391970185715405
1896,GER,
1900,GER,-32.12594696969697
1904,GER,-27.11772752797176
1908,GER,-18.67232799739541
1912,GER,-6.634381945194456
1920,GER,0.0
1924,GER,0.0
1928,GER,3.922316499561984
1932,GER,-3.9387339639688657
1936,GER,24.108010801098946
1948,GER,0.0
1952,GER,-6.195576229383537
1956,GER,0.0
1960,GER,0.0
1964,GER,0.0
1968,GER,0.0
1972,GER,0.0
1976,GER,0.0
1980,GER,0.0
1984,GER,0.0
1988,GER,0.0
1992,GER,2.1722972208741753
1996,GER,-2.8700810926296727
2000,GER,-3.13533396912139
2004,GER,-1.4373035167602355
2008,GER,-3.2344014267009946
1896,GHA,
1900,GHA,
1904,GHA,
1908,GHA,
1912,GHA,
1920,GHA,
1924,GHA,
1928,GHA,
1932,GHA,
1936,GHA,
1948,GHA,
1952,GHA,
1956,GHA,
1960,GHA,
1964,GHA,-6.336633663366342
1968,GHA,0.0
1972,GHA,-6.844720386080406
1976,GHA,0.0
1980,GHA,0.0
1984,GHA,0.0
1988,GHA,0.0
1992,GHA,167.68607328491464
1996,GHA,0.0
2000,GHA,0.0
2004,GHA,0.0
2008,GHA,0.0
1896,GRE,
1900,GRE,0.0
1904,GRE,-49.38216039279869
1908,GRE,-32.619800520475785
1912,GRE,-24.518978553919734
1920,GRE,-19.13098905791496
1924,GRE,0.0
1928,GRE,0.0
1932,GRE,0.0
1936,GRE,0.0
1948,GRE,0.0
1952,GRE,0.0
1956,GRE,-16.403988918442135
1960,GRE,-13.474964429218861
1964,GRE,0.0
1968,GRE,-12.266201450676084
1972,GRE,-10.698925651726876
1976,GRE,0.0
1980,GRE,-9.112720615969018
1984,GRE,-8.75343086090008
1988,GRE,-8.173356732605331
1992,GRE,-7.400671948684678
1996,GRE,-6.069972034228099
2000,GRE,-4.4537125986304105
2004,GRE,-2.4786345770191454
2008,GRE,-5.078186407863273
1896,GUY,
1900,GUY,
1904,GUY,
1908,GUY,
1912,GUY,
1920,GUY,
1924,GUY,
1928,GUY,
1932,GUY,
1936,GUY,
1948,GUY,
1952,GUY,
1956,GUY,
1960,GUY,
1964,GUY,
1968,GUY,
